English,Korean,Japanese,Chinese,Spanish,German,French,Portuguese,Russian
STAGE {0} CLEAR!!,스테이지 {0} 클리어!!,ステージ {0} クリア!!,关卡 {0} 通关!!,¡Etapa {0} completada!,Stufe {0} geschafft!!,Niveau {0} terminé !!,Fase {0} concluída!!,Этап {0} пройден!!
REWARDS,보상,報酬,奖励,Recompensas,Belohnungen,Récompenses,Recompensas,Награды
BONUS,보너스,ボーナス,奖励 extra,Bonificación,Bonus,Bonus,Bônus,Бонус
Next,다음,次へ,下一步,Siguiente,Weiter,Suivant,Próximo,Далее
GAME OVER,게임 오버,ゲームオーバー,游戏结束,Fin del juego,Spiel vorbei,Fin du jeu,Fim de jogo,Игра окончена
Continue,계속하기,続ける,继续,Continuar,Weiterspielen,Continuer,Continuar,Продолжить
WIN,승리,勝利,胜利,Victoria,Sieg,Victoire,Vitória,Победа
LOSE,패배,敗北,失败,Derrota,Niederlage,Défaite,Derrota,Поражение
Next,다음,次へ,下一步,Siguiente,Weiter,Suivant,Próximo,Далее
Terms and Conditions,이용 약관,利用規約,条款和条件,Términos y condiciones,Allgemeine Geschäftsbedingungen,Termes et conditions,Termos e condições,Правила и условия
Agree,동의,同意,同意,Aceptar,Zustimmen,Accepter,Concordar,Согласиться
